Job_Title,Experience,Work_Mode,Year,Salary,Company_Size
Data Analyst,Senior-level,On-site,2024,93000,Medium
Data Analyst,Mid-level,On-site,2024,158000,Medium
Data Analyst,Mid-level,On-site,2024,106000,Medium
Data Analyst,Senior-level,On-site,2024,140130,Medium
Data Analyst,Senior-level,On-site,2024,84870,Medium
Data Scientist,Senior-level,Remote,2024,220000,Medium
Data Scientist,Senior-level,Remote,2024,170000,Medium
Data Engineer,Senior-level,On-site,2024,233200,Medium
Data Engineer,Senior-level,On-site,2024,144200,Medium
ML Engineer,Senior-level,On-site,2024,247500,Medium
ML Engineer,Senior-level,On-site,2024,172200,Medium
Data Engineer,Mid-level,On-site,2024,138000,Medium
Data Engineer,Mid-level,On-site,2024,86000,Medium
Data Analyst,Entry-level,On-site,2024,71000,Medium
Data Analyst,Entry-level,Remote,2024,92700,Medium
Data Analyst,Entry-level,Remote,2024,64900,Medium
Data Scientist,Mid-level,On-site,2024,73000,Medium
Data Analyst,Mid-level,Remote,2024,81713,Medium
Data Analyst,Mid-level,Remote,2024,48067,Medium
ML Engineer,Mid-level,On-site,2024,179000,Medium
ML Engineer,Mid-level,On-site,2024,112000,Medium
Data Analyst,Mid-level,Remote,2024,85000,Medium
Data Analyst,Mid-level,Remote,2024,61800,Medium
Data Analyst,Mid-level,On-site,2024,129118,Medium
Data Analyst,Mid-level,On-site,2024,86078,Medium
Data Scientist,Mid-level,On-site,2024,97000,Medium
Data Scientist,Mid-level,On-site,2024,62000,Medium
ML Engineer,Senior-level,On-site,2024,253000,Medium
ML Engineer,Senior-level,On-site,2024,187000,Medium
ML Engineer,Senior-level,On-site,2024,250000,Medium
ML Engineer,Senior-level,On-site,2024,150000,Medium
Data Engineer,Mid-level,On-site,2024,184000,Medium
Data Engineer,Mid-level,On-site,2024,123000,Medium
Data Scientist,Senior-level,On-site,2024,245000,Medium
Data Scientist,Senior-level,On-site,2024,180000,Medium
Data Engineer,Senior-level,On-site,2024,184000,Medium
Data Engineer,Senior-level,On-site,2024,123000,Medium
ML Engineer,Senior-level,On-site,2024,229000,Medium
ML Engineer,Senior-level,On-site,2024,221000,Medium
Data Engineer,Senior-level,Remote,2024,210000,Medium
Data Engineer,Senior-level,Remote,2024,162000,Medium
ML Engineer,Senior-level,On-site,2024,198000,Medium
ML Engineer,Senior-level,On-site,2024,162000,Medium
ML Engineer,Senior-level,On-site,2024,300000,Medium
ML Engineer,Senior-level,On-site,2024,180000,Medium
Data Scientist,Mid-level,On-site,2024,68088,Medium
Data Scientist,Mid-level,On-site,2024,54552,Medium
Data Scientist,Senior-level,On-site,2024,324000,Medium
Data Scientist,Senior-level,On-site,2024,159000,Medium
ML Engineer,Senior-level,On-site,2024,146000,Medium
Data Engineer,Mid-level,Remote,2024,110000,Medium
Data Engineer,Mid-level,Remote,2024,90000,Medium
Data Scientist,Mid-level,On-site,2024,60000,Medium
Data Scientist,Mid-level,On-site,2024,55000,Medium
Data Analyst,Entry-level,On-site,2024,116013,Medium
Data Analyst,Entry-level,On-site,2024,92810,Medium
Data Engineer,Senior-level,On-site,2024,221000,Medium
Data Engineer,Mid-level,On-site,2024,146100,Medium
Data Engineer,Mid-level,On-site,2024,86500,Medium
Data Scientist,Senior-level,On-site,2024,159300,Medium
Data Scientist,Senior-level,On-site,2024,96600,Medium
Data Engineer,Senior-level,On-site,2024,209300,Medium
Data Engineer,Senior-level,On-site,2024,118300,Medium
Data Scientist,Senior-level,Remote,2024,130000,Medium
Data Engineer,Senior-level,Remote,2024,140000,Medium
Data Engineer,Senior-level,Remote,2024,97200,Medium
Data Analyst,Senior-level,Remote,2024,140000,Medium
Data Engineer,Mid-level,On-site,2024,308000,Medium
Data Engineer,Mid-level,On-site,2024,193000,Medium
Data Engineer,Senior-level,On-site,2024,240000,Medium
Data Engineer,Senior-level,On-site,2024,180000,Medium
Data Analyst,Senior-level,On-site,2024,126480,Medium
Data Analyst,Senior-level,On-site,2024,82620,Medium
Data Scientist,Mid-level,Remote,2024,140025,Medium
Data Scientist,Mid-level,Remote,2024,102300,Medium
Data Scientist,Senior-level,On-site,2024,106875,Medium
Data Scientist,Senior-level,On-site,2024,71250,Medium
Data Scientist,Senior-level,On-site,2024,161000,Medium
Data Scientist,Senior-level,On-site,2024,133200,Medium
Data Scientist,Mid-level,On-site,2024,161875,Medium
Data Scientist,Mid-level,On-site,2024,97125,Medium
ML Engineer,Senior-level,Remote,2024,196350,Medium
ML Engineer,Senior-level,Remote,2024,127500,Medium
Data Scientist,Mid-level,Remote,2024,135450,Medium
Data Scientist,Mid-level,Remote,2024,72870,Medium
Data Scientist,Senior-level,On-site,2024,184800,Medium
Data Scientist,Senior-level,On-site,2024,161900,Medium
Data Scientist,Senior-level,On-site,2024,146800,Medium
Data Scientist,Senior-level,On-site,2024,117400,Medium
Data Analyst,Entry-level,On-site,2024,90000,Medium
Data Analyst,Entry-level,On-site,2024,60000,Medium
Data Scientist,Mid-level,On-site,2024,310000,Medium
Data Engineer,Senior-level,On-site,2024,140000,Medium
Data Engineer,Senior-level,On-site,2024,125000,Medium
ML Engineer,Mid-level,On-site,2024,223000,Medium
ML Engineer,Mid-level,On-site,2024,171600,Medium
Data Analyst,Senior-level,Remote,2024,192500,Medium
Data Analyst,Senior-level,Remote,2024,122500,Medium
Data Analyst,Senior-level,Remote,2024,162900,Medium
Data Analyst,Senior-level,Remote,2024,117725,Medium
Data Analyst,Entry-level,On-site,2024,140000,Medium
Data Analyst,Entry-level,On-site,2024,100000,Medium
Data Engineer,Mid-level,Remote,2024,170000,Medium
Data Engineer,Mid-level,Remote,2024,105000,Medium
Data Scientist,Senior-level,On-site,2024,139000,Medium
Data Scientist,Mid-level,Remote,2024,153700,Medium
Data Scientist,Mid-level,Remote,2024,87300,Medium
Data Engineer,Senior-level,On-site,2024,282000,Medium
Data Engineer,Senior-level,On-site,2024,208000,Medium
Data Engineer,Mid-level,Remote,2024,162000,Medium
Data Engineer,Mid-level,Remote,2024,129000,Medium
Data Engineer,Senior-level,On-site,2024,255800,Medium
Data Engineer,Senior-level,On-site,2024,176000,Medium
Data Engineer,Mid-level,On-site,2024,210000,Medium
Data Engineer,Mid-level,On-site,2024,140000,Medium
Data Engineer,Senior-level,Remote,2024,150000,Medium
Data Analyst,Entry-level,On-site,2024,156000,Medium
Data Analyst,Entry-level,On-site,2024,124000,Medium
Data Analyst,Senior-level,Remote,2024,158494,Medium
Data Analyst,Senior-level,Remote,2024,88052,Medium
Data Analyst,Senior-level,Remote,2024,220000,Medium
Data Analyst,Senior-level,Remote,2024,170000,Medium
Data Scientist,Senior-level,Remote,2024,195500,Medium
Data Scientist,Senior-level,Remote,2024,141300,Medium
Data Engineer,Senior-level,On-site,2024,139810,Medium
Data Engineer,Senior-level,On-site,2024,95325,Medium
Data Engineer,Mid-level,Remote,2023,160000,Medium
Data Engineer,Mid-level,Remote,2023,130000,Medium
Data Analyst,Mid-level,On-site,2023,85000,Medium
Data Analyst,Mid-level,On-site,2023,65000,Medium
ML Engineer,Mid-level,On-site,2023,166000,Medium
ML Engineer,Mid-level,On-site,2023,73100,Medium
Data Engineer,Mid-level,On-site,2023,114000,Medium
Data Engineer,Mid-level,On-site,2023,72000,Medium
Data Analyst,Mid-level,On-site,2023,102500,Medium
ML Engineer,Senior-level,On-site,2023,258700,Medium
ML Engineer,Senior-level,On-site,2023,160000,Medium
Data Scientist,Senior-level,Remote,2023,203649,Medium
Data Scientist,Senior-level,Remote,2023,183284,Medium
Data Analyst,Senior-level,On-site,2023,130000,Medium
Data Analyst,Senior-level,On-site,2023,80850,Medium
ML Engineer,Senior-level,On-site,2023,215000,Medium
ML Engineer,Senior-level,On-site,2023,146900,Medium
ML Engineer,Mid-level,On-site,2023,165000,Medium
ML Engineer,Mid-level,On-site,2023,135000,Medium
Data Analyst,Entry-level,Remote,2023,75065,Medium
Data Analyst,Entry-level,Remote,2023,41419,Medium
Data Engineer,Senior-level,Remote,2023,145000,Medium
Data Engineer,Senior-level,Remote,2023,120000,Medium
ML Engineer,Senior-level,On-site,2023,275000,Medium
ML Engineer,Senior-level,On-site,2023,170000,Medium
Data Scientist,Entry-level,On-site,2023,100000,Medium
Data Scientist,Entry-level,On-site,2023,70000,Medium
Data Scientist,Mid-level,On-site,2023,135700,Medium
Data Scientist,Mid-level,On-site,2023,108560,Medium
Data Scientist,Senior-level,On-site,2023,277000,Medium
Data Scientist,Senior-level,On-site,2023,173000,Medium
Data Scientist,Senior-level,On-site,2023,187415,Medium
Data Scientist,Senior-level,On-site,2023,114080,Medium
Data Scientist,Mid-level,On-site,2023,220000,Medium
Data Scientist,Mid-level,On-site,2023,137500,Medium
Data Analyst,Mid-level,On-site,2023,119000,Medium
Data Analyst,Mid-level,On-site,2023,52100,Medium
Data Analyst,Entry-level,On-site,2023,64000,Medium
Data Analyst,Entry-level,On-site,2023,60000,Medium
Data Engineer,Mid-level,On-site,2023,179000,Medium
Data Engineer,Mid-level,On-site,2023,112000,Medium
Data Analyst,Entry-level,On-site,2023,65000,Medium
Data Analyst,Entry-level,On-site,2023,54000,Medium
ML Engineer,Senior-level,On-site,2023,250000,Medium
ML Engineer,Senior-level,On-site,2023,140000,Medium
Data Scientist,Entry-level,On-site,2023,113800,Medium
Data Scientist,Entry-level,On-site,2023,63200,Medium
Data Scientist,Senior-level,On-site,2023,210000,Medium
Data Scientist,Senior-level,On-site,2023,160000,Medium
Data Engineer,Mid-level,On-site,2023,170000,Medium
Data Engineer,Mid-level,On-site,2023,130000,Medium
ML Engineer,Mid-level,On-site,2023,125000,Medium
ML Engineer,Mid-level,On-site,2023,100000,Medium
Data Scientist,Senior-level,On-site,2023,140000,Medium
Data Engineer,Senior-level,On-site,2023,247300,Medium
Data Engineer,Senior-level,On-site,2023,139700,Medium
Data Analyst,Senior-level,Remote,2023,192000,Medium
Data Analyst,Senior-level,Remote,2023,138240,Medium
Data Scientist,Senior-level,On-site,2023,170000,Medium
Data Scientist,Senior-level,On-site,2023,130000,Medium
Data Analyst,Senior-level,Remote,2023,170000,Medium
Data Analyst,Senior-level,Remote,2023,130000,Medium
Data Engineer,Mid-level,On-site,2023,186000,Medium
Data Engineer,Mid-level,On-site,2023,81800,Medium
Data Engineer,Senior-level,On-site,2023,166000,Medium
Data Engineer,Senior-level,On-site,2023,73100,Medium
Data Analyst,Mid-level,On-site,2023,115950,Medium
Data Analyst,Mid-level,On-site,2023,69570,Medium
Data Analyst,Senior-level,Remote,2023,119200,Medium
Data Analyst,Senior-level,Remote,2023,86600,Medium
Data Engineer,Senior-level,Remote,2023,140544,Medium
Data Engineer,Senior-level,Remote,2023,82673,Medium
Data Engineer,Senior-level,On-site,2023,162540,Medium
Data Engineer,Senior-level,On-site,2023,87570,Medium
Data Engineer,Mid-level,On-site,2023,140000,Medium
Data Engineer,Mid-level,On-site,2023,90000,Medium
Data Scientist,Mid-level,On-site,2023,212000,Medium
Data Scientist,Mid-level,On-site,2023,93300,Medium
Data Scientist,Mid-level,Remote,2023,157000,Medium
Data Scientist,Mid-level,Remote,2023,144000,Medium
Data Scientist,Senior-level,On-site,2023,179000,Medium
Data Scientist,Senior-level,On-site,2023,112000,Medium
Data Engineer,Senior-level,On-site,2023,179000,Medium
Data Engineer,Senior-level,On-site,2023,112000,Medium
Data Engineer,Mid-level,On-site,2023,130400,Medium
Data Engineer,Mid-level,On-site,2023,74500,Medium
Data Analyst,Senior-level,On-site,2023,120000,Medium
Data Analyst,Senior-level,On-site,2023,100000,Medium
ML Engineer,Senior-level,On-site,2023,247500,Medium
ML Engineer,Senior-level,On-site,2023,172200,Medium
Data Scientist,Mid-level,On-site,2023,110000,Medium
Data Scientist,Mid-level,On-site,2023,90000,Medium
Data Scientist,Mid-level,On-site,2023,310000,Medium
Data Scientist,Mid-level,On-site,2023,245000,Medium
ML Engineer,Senior-level,On-site,2023,280000,Medium
ML Engineer,Senior-level,On-site,2023,196000,Medium
ML Engineer,Mid-level,On-site,2023,212000,Medium
ML Engineer,Mid-level,On-site,2023,93300,Medium
Data Scientist,Mid-level,On-site,2023,75000,Medium
Data Scientist,Mid-level,On-site,2023,70000,Medium
Data Scientist,Mid-level,On-site,2023,166000,Medium
Data Scientist,Mid-level,On-site,2023,73100,Medium
Data Engineer,Senior-level,On-site,2023,251250,Medium
Data Engineer,Senior-level,On-site,2023,120750,Medium
Data Engineer,Mid-level,On-site,2023,106050,Medium
Data Engineer,Mid-level,On-site,2023,80420,Medium
Data Scientist,Mid-level,On-site,2023,120000,Medium
Data Scientist,Mid-level,On-site,2023,147400,Medium
Data Scientist,Mid-level,On-site,2023,107682,Medium
Data Analyst,Senior-level,Remote,2023,145000,Medium
Data Analyst,Senior-level,Remote,2023,95000,Medium
Data Analyst,Entry-level,On-site,2023,118750,Medium
Data Analyst,Entry-level,On-site,2023,106875,Medium
Data Engineer,Senior-level,On-site,2023,186000,Medium
Data Engineer,Senior-level,On-site,2023,81800,Medium
Data Analyst,Mid-level,On-site,2023,142000,Medium
Data Analyst,Mid-level,On-site,2023,128000,Medium
Data Analyst,Senior-level,On-site,2023,140130,Medium
Data Analyst,Senior-level,On-site,2023,84870,Medium
ML Engineer,Senior-level,On-site,2023,262000,Medium
ML Engineer,Senior-level,On-site,2023,186000,Medium
Data Analyst,Mid-level,On-site,2023,58500,Medium
Data Analyst,Entry-level,On-site,2023,59059,Medium
Data Analyst,Entry-level,On-site,2023,47985,Medium
Data Analyst,Senior-level,On-site,2023,93918,Medium
Data Analyst,Senior-level,On-site,2023,51962,Medium
Data Engineer,Senior-level,On-site,2023,173000,Medium
Data Engineer,Senior-level,On-site,2023,140000,Medium
ML Engineer,Senior-level,On-site,2023,291500,Medium
ML Engineer,Senior-level,On-site,2023,180200,Medium
ML Engineer,Senior-level,On-site,2023,255800,Medium
ML Engineer,Senior-level,On-site,2023,170600,Medium
Data Engineer,Senior-level,On-site,2023,146850,Medium
Data Engineer,Senior-level,On-site,2023,106800,Medium
Data Engineer,Mid-level,On-site,2023,200000,Medium
Data Engineer,Mid-level,On-site,2023,117000,Medium
Data Scientist,Senior-level,Remote,2023,239900,Medium
Data Scientist,Senior-level,Remote,2023,159900,Medium
Data Analyst,Entry-level,On-site,2023,162240,Medium
Data Analyst,Entry-level,On-site,2023,47840,Medium
Data Engineer,Senior-level,On-site,2023,130410,Medium
Data Engineer,Senior-level,On-site,2023,92000,Medium
Data Analyst,Mid-level,On-site,2023,92000,Medium
Data Analyst,Mid-level,On-site,2023,69000,Medium
Data Engineer,Senior-level,On-site,2023,333500,Medium
Data Engineer,Senior-level,On-site,2023,176000,Medium
Data Engineer,Senior-level,On-site,2023,114300,Medium
Data Engineer,Senior-level,On-site,2023,89600,Medium
ML Engineer,Senior-level,On-site,2023,266875,Medium
ML Engineer,Senior-level,On-site,2023,128250,Medium
Data Engineer,Mid-level,On-site,2023,180000,Medium
Data Engineer,Senior-level,Remote,2023,178492,Medium
Data Engineer,Senior-level,Remote,2023,89246,Medium
Data Engineer,Senior-level,Remote,2023,245000,Medium
Data Engineer,Senior-level,Remote,2023,150000,Medium
ML Engineer,Senior-level,Remote,2023,165000,Medium
ML Engineer,Senior-level,Remote,2023,130000,Medium
Data Scientist,Senior-level,On-site,2023,280889,Medium
Data Scientist,Senior-level,On-site,2023,187259,Medium
Data Engineer,Mid-level,Remote,2023,185000,Medium
Data Engineer,Mid-level,Remote,2023,125000,Medium
Data Engineer,Senior-level,Remote,2023,196900,Medium
Data Engineer,Senior-level,Remote,2023,186700,Medium
Data Scientist,Senior-level,On-site,2023,260000,Medium
Data Scientist,Senior-level,On-site,2023,192000,Medium
Data Engineer,Mid-level,On-site,2023,205600,Large
Data Engineer,Mid-level,On-site,2023,105700,Large
Data Analyst,Mid-level,On-site,2023,75000,Medium
Data Scientist,Senior-level,On-site,2023,218000,Medium
Data Scientist,Senior-level,On-site,2023,152600,Medium
ML Engineer,Senior-level,On-site,2023,224880,Medium
ML Engineer,Senior-level,On-site,2023,121500,Medium
Data Analyst,Senior-level,On-site,2023,129000,Medium
Data Analyst,Senior-level,On-site,2023,46200,Medium
Data Scientist,Senior-level,On-site,2023,272400,Medium
Data Scientist,Senior-level,On-site,2023,155600,Medium
Data Analyst,Entry-level,On-site,2023,115000,Medium
Data Analyst,Entry-level,On-site,2023,95000,Medium
ML Engineer,Mid-level,On-site,2023,750000,Medium
ML Engineer,Mid-level,On-site,2023,150000,Medium
Data Scientist,Senior-level,On-site,2023,176000,Medium
Data Scientist,Senior-level,On-site,2023,158000,Medium
Data Analyst,Senior-level,Remote,2023,135000,Medium
Data Analyst,Senior-level,Remote,2023,125000,Medium
ML Engineer,Senior-level,Remote,2023,270000,Medium
ML Engineer,Senior-level,Remote,2023,232200,Medium
Data Scientist,Mid-level,Remote,2023,107000,Medium
Data Scientist,Mid-level,Remote,2023,87300,Medium
ML Engineer,Senior-level,On-site,2023,230000,Medium
ML Engineer,Senior-level,On-site,2023,140000,Medium
Data Analyst,Mid-level,Remote,2023,85000,Medium
Data Analyst,Mid-level,Remote,2023,61800,Medium
Data Engineer,Senior-level,Remote,2023,300000,Medium
Data Engineer,Senior-level,Remote,2023,195000,Medium
ML Engineer,Senior-level,On-site,2023,204500,Medium
